iter	RMSE
0	2.342782883
1	2.288768949
2	2.238228539
3	2.191799327
4	2.149965987
5	2.11187473
6	2.075408029
7	2.041769598
8	2.01032376
9	1.981744484
10	1.95538691
11	1.931596707
12	1.908623439
13	1.886681174
14	1.867046254
15	1.848478136
16	1.831751395
17	1.81586241
18	1.801631602
19	1.789340485
20	1.777278803
21	1.766373258
22	1.755727877
23	1.746249073
24	1.737349539
25	1.729059921
26	1.721548504
27	1.715022711
28	1.708760354
29	1.702423897
30	1.697162734
31	1.691808319
32	1.687370411
33	1.682716638
34	1.678370604
35	1.674550506
36	1.670853053
37	1.667585267
38	1.664513007
39	1.661638122
40	1.658774667
41	1.656312286
42	1.654078479
43	1.65212498
44	1.649974828
45	1.648187027
46	1.646506519
47	1.644940504
48	1.643603272
49	1.642267264
50	1.641032243
51	1.639847464
52	1.638605128
53	1.637341083
54	1.636427507
55	1.635282606
56	1.634221462
57	1.633337282
58	1.632211494
59	1.631486691
60	1.630479894
61	1.629395509
62	1.62860985
63	1.627735347
64	1.627000876
65	1.626363052
66	1.625688599
67	1.624899639
68	1.624294721
69	1.623638663
70	1.623246826
71	1.622669511
72	1.622106882
73	1.621644938
74	1.621261467
75	1.620664133
76	1.62008308
77	1.61954138
78	1.619121488
79	1.618673735
80	1.618375784
81	1.618032999
82	1.61761442
83	1.617217097
84	1.616540902
85	1.616035309
86	1.615655104
87	1.615270322
88	1.614962827
89	1.614581501
90	1.614300688
91	1.613953468
92	1.61358568
93	1.613237542
94	1.612887098
95	1.612265854
96	1.611817552
97	1.611492535
98	1.611304589
99	1.611028938
100	1.610847573
101	1.610369644
102	1.610013557
103	1.609675323
104	1.609236509
105	1.608869601
106	1.60847843
107	1.608280791
108	1.607783569
109	1.60744918
110	1.607182961
111	1.606917804
112	1.606713565
113	1.606298585
114	1.606031735
115	1.605590857
116	1.605219615
117	1.604977869
118	1.604841949
119	1.604653861
120	1.604095244
121	1.603794509
122	1.60350455
123	1.603380042
124	1.603065961
125	1.602556198
126	1.602342044
127	1.602043367
128	1.60180398
129	1.601708468
130	1.601230575
131	1.601072555
132	1.600550903
133	1.600362626
134	1.600182159
135	1.599872167
136	1.599575877
137	1.599090379
138	1.598668212
139	1.598481938
140	1.598204311
141	1.597704542
142	1.597246606
143	1.597152199
144	1.597014537
145	1.596755054
146	1.596580117
147	1.5963618
148	1.596261375
149	1.59620745
150	1.596152709
151	1.595826534
152	1.595514227
153	1.59542712
154	1.595290454
155	1.595110398
156	1.59499838
157	1.59476691
158	1.594442934
159	1.594186463
160	1.593651555
161	1.593253826
162	1.593132449
163	1.592726177
164	1.592427802
165	1.592275853
166	1.592100121
167	1.591659498
168	1.591429756
169	1.591223657
170	1.590831194
171	1.590678121
172	1.590313786
173	1.589964504
174	1.589827776
175	1.589443481
176	1.589063682
177	1.588807699
178	1.588673738
179	1.588486183
180	1.588409094
181	1.58808651
182	1.587810349
183	1.58762812
184	1.587270873
185	1.587058154
186	1.586786383
187	1.586743646
188	1.586409206
189	1.586364835
190	1.585995335
191	1.585892648
192	1.585587018
193	1.585455488
194	1.585158986
195	1.584949448
196	1.584806654
197	1.584606423
198	1.584355449
199	1.584072429
200	1.583970839
201	1.583741377
202	1.583673757
203	1.583202858
204	1.58302587
205	1.58268504
206	1.582376092
207	1.582055253
208	1.581957971
209	1.581777924
210	1.581493452
211	1.581447019
212	1.581199699
213	1.58094263
214	1.580739188
215	1.580642541
216	1.580409161
217	1.58027869
218	1.579949989
219	1.579631735
220	1.579522667
221	1.579331718
222	1.579204296
223	1.579048565
224	1.578922559
225	1.578868839
226	1.578695651
227	1.578466992
228	1.577829406
229	1.577795236
230	1.577475903
231	1.577130476
232	1.577037133
233	1.576796889
234	1.576638869
235	1.576457225
236	1.576123467
237	1.576038789
238	1.575767376
239	1.575287394
240	1.57519865
241	1.574711884
242	1.574356016
243	1.574296946
244	1.573864552
245	1.573690819
246	1.573653783
247	1.573290507
248	1.572958934
249	1.572720081
250	1.57232591
251	1.572151693
252	1.571889402
253	1.571731389
254	1.571645944
255	1.57137802
256	1.57112463
257	1.570788806
258	1.570584196
259	1.570333166
260	1.570055058
261	1.569712164
262	1.569317909
263	1.569152247
264	1.568847424
265	1.568221258
266	1.567868855
267	1.567600946
268	1.567412
269	1.56709728
270	1.566780851
271	1.566729176
272	1.566395369
273	1.566249565
274	1.565940021
275	1.565906008
276	1.565712335
277	1.565471147
278	1.565383281
279	1.565116533
280	1.564908514
281	1.564636056
282	1.564160706
283	1.564044764
284	1.563509729
285	1.563381226
286	1.563072617
287	1.562863512
288	1.56255734
289	1.562096353
290	1.561791428
291	1.56150499
292	1.561157383
293	1.560579872
294	1.560337947
295	1.56008485
296	1.559721434
297	1.559319038
298	1.559190585
299	1.559040192
300	1.55872381
301	1.55842437
302	1.558000739
303	1.557680332
304	1.557156627
305	1.55680224
306	1.556418533
307	1.556036666
308	1.555819598
309	1.555515027
310	1.555200075
311	1.55500837
312	1.554917837
313	1.5545751
314	1.554536766
315	1.554286732
316	1.553857374
317	1.553831102
318	1.553569497
319	1.553511226
320	1.553456558
321	1.552987981
322	1.552730427
323	1.55267962
324	1.552286718
325	1.551776189
326	1.551476425
327	1.55119211
328	1.551168584
329	1.551124733
330	1.550921858
331	1.550576722
332	1.550206942
333	1.549949473
334	1.549872942
335	1.549324323
336	1.549308704
337	1.548927216
338	1.548918181
339	1.548735683
340	1.54860355
341	1.548273202
342	1.548035536
343	1.547746232
344	1.54754129
345	1.547242768
346	1.54679114
347	1.546362357
348	1.545821543
349	1.545531766
350	1.5454631
351	1.54518469
352	1.545115827
353	1.544912114
354	1.544718251
355	1.544302556
356	1.544277308
357	1.544212925
358	1.543871152
359	1.543619176
360	1.543103507
361	1.542848395
362	1.542680308
363	1.542155689
364	1.542139576
365	1.54180517
366	1.541643336
367	1.541630486
368	1.541189365
369	1.540993511
370	1.540519995
371	1.540188823
372	1.539753636
373	1.53947162
374	1.539213609
375	1.538821655
376	1.538638973
377	1.538286755
378	1.538138337
379	1.537881407
380	1.537659288
381	1.537532372
382	1.537171758
383	1.537124889
384	1.536630788
385	1.536257749
386	1.536092221
387	1.535724414
388	1.535471413
389	1.535201704
390	1.534940202
391	1.534886269
392	1.534662797
393	1.534351981
394	1.53411626
395	1.53377562
396	1.533386822
397	1.532945753
398	1.532901827
399	1.532511127
