iter	Passed	Remaining
0	2	964
1	4	922
2	6	924
3	9	955
4	11	946
5	14	923
6	16	925
7	19	933
8	21	922
9	23	918
10	25	917
11	28	908
12	30	907
13	32	902
14	35	900
15	37	901
16	40	902
17	42	899
18	44	899
19	47	900
20	49	898
21	52	897
22	54	898
23	57	894
24	59	892
25	62	893
26	64	892
27	67	897
28	70	897
29	72	895
30	74	892
31	77	889
32	79	885
33	81	881
34	84	879
35	86	876
36	88	872
37	91	873
38	94	875
39	97	873
40	99	870
41	101	865
42	104	863
43	106	860
44	108	856
45	110	852
46	113	850
47	116	854
48	118	851
49	120	846
50	122	841
51	125	838
52	127	836
53	130	833
54	132	830
55	134	826
56	136	822
57	138	819
58	141	816
59	143	815
60	146	812
61	148	809
62	150	807
63	153	803
64	155	800
65	157	798
66	160	795
67	162	791
68	164	788
69	166	785
70	168	781
71	170	778
72	173	776
73	175	773
74	177	769
75	180	767
76	182	763
77	184	760
78	186	757
79	188	753
80	190	751
81	193	749
82	195	748
83	198	745
84	200	743
85	204	745
86	206	743
87	209	741
88	211	738
89	214	737
90	216	735
91	219	733
92	221	731
93	224	729
94	226	728
95	229	725
96	231	723
97	239	739
98	242	736
99	244	733
100	246	730
101	249	727
102	251	724
103	253	721
104	255	718
105	258	715
106	260	712
107	262	708
108	264	705
109	266	703
110	268	699
111	270	696
112	272	693
113	275	690
114	277	686
115	279	684
116	281	680
117	283	677
118	285	675
119	288	672
120	290	668
121	292	665
122	294	663
123	296	660
124	298	657
125	300	654
126	302	651
127	304	648
128	307	645
129	309	642
130	311	639
131	313	636
132	315	633
133	317	630
134	319	628
135	322	625
136	325	623
137	328	623
138	331	621
139	333	619
140	336	618
141	339	616
142	341	613
143	344	612
144	347	610
145	349	608
146	352	606
147	354	603
148	356	601
149	359	599
150	361	596
151	364	594
152	366	592
153	369	589
154	371	587
155	373	584
156	375	581
157	378	579
158	380	577
159	382	574
160	385	571
161	387	569
162	390	567
163	392	565
164	395	562
165	397	559
166	399	557
167	401	554
168	403	552
169	406	549
170	408	547
171	410	544
172	412	541
173	414	538
174	416	536
175	420	534
176	422	531
177	424	528
178	426	526
179	428	523
180	429	520
181	431	517
182	433	514
183	436	512
184	441	512
185	443	510
186	446	508
187	448	505
188	450	502
189	452	499
190	454	497
191	456	494
192	459	492
193	461	489
194	463	487
195	465	484
196	467	482
197	470	479
198	472	476
199	474	474
200	476	471
201	478	469
202	480	466
203	482	463
204	484	461
205	487	458
206	489	456
207	491	453
208	494	451
209	496	449
210	499	447
211	501	444
212	503	442
213	506	439
214	508	437
215	510	435
216	513	432
217	515	430
218	517	427
219	520	425
220	522	423
221	524	420
222	527	418
223	529	415
224	531	413
225	533	410
226	536	409
227	539	407
228	542	404
229	544	402
230	546	399
231	549	397
232	552	395
233	554	393
234	556	390
235	558	388
236	561	386
237	563	383
238	566	381
239	569	379
240	572	377
241	575	375
242	577	373
243	579	370
244	582	368
245	585	366
246	587	363
247	590	361
248	593	359
249	595	357
250	597	354
251	600	352
252	602	349
253	604	347
254	607	345
255	609	342
256	611	340
257	613	337
258	615	335
259	617	332
260	620	330
261	623	328
262	625	325
263	627	323
264	629	320
265	632	318
266	634	315
267	636	313
268	638	311
269	641	308
270	643	306
271	646	304
272	648	301
273	650	299
274	652	296
275	654	294
276	656	291
277	659	289
278	661	287
279	663	284
280	666	282
281	668	279
282	670	277
283	673	274
284	675	272
285	677	269
286	679	267
287	681	264
288	683	262
289	685	260
290	688	257
291	690	255
292	692	252
293	694	250
294	696	247
295	698	245
296	701	243
297	703	240
298	705	238
299	707	235
300	709	233
301	711	231
302	715	228
303	717	226
304	719	224
305	721	221
306	723	219
307	725	216
308	727	214
309	730	212
310	732	209
311	735	207
312	737	204
313	739	202
314	741	200
315	743	197
316	746	195
317	748	192
318	750	190
319	752	188
320	754	185
321	756	183
322	758	180
323	761	178
324	763	176
325	765	173
326	768	171
327	771	169
328	773	166
329	775	164
330	778	162
331	780	159
332	782	157
333	785	155
334	787	152
335	789	150
336	791	148
337	794	145
338	796	143
339	798	140
340	801	138
341	803	136
342	805	133
343	808	131
344	810	129
345	812	126
346	815	124
347	817	122
348	820	119
349	822	117
350	824	115
351	826	112
352	828	110
353	830	107
354	832	105
355	835	103
356	837	100
357	839	98
358	841	96
359	843	93
360	845	91
361	847	88
362	849	86
363	851	84
364	853	81
365	855	79
366	857	77
367	859	74
368	861	72
369	864	70
370	867	67
371	869	65
372	871	63
373	874	60
374	876	58
375	878	56
376	881	53
377	884	51
378	886	49
379	889	46
380	891	44
381	893	42
382	898	39
383	900	37
384	903	35
385	905	32
386	908	30
387	910	28
388	912	25
389	915	23
390	917	21
391	919	18
392	921	16
393	923	14
394	926	11
395	928	9
396	930	7
397	932	4
398	935	2
399	937	0
